,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
8663,0.108,Mark Linett,0.602,118840,0.5529999999999999,0,0.0,11,0.0512,-9.336,1,Little Saint Nick - 1991 Remix,75,0.0328,130.594,0.971,1964
8663,0.108,Sweet,0.602,118840,0.5529999999999999,0,0.0,11,0.0512,-9.336,1,Little Saint Nick - 1991 Remix,75,0.0328,130.594,0.971,1964
8663,0.108,Larry Walsh,0.602,118840,0.5529999999999999,0,0.0,11,0.0512,-9.336,1,Little Saint Nick - 1991 Remix,75,0.0328,130.594,0.971,1964
8662,0.614,Brenda Lee,0.589,126267,0.472,0,0.0,8,0.505,-8.749,1,Rockin' Around The Christmas Tree,87,0.0502,67.196,0.898,1964
8893,0.308,The Who,0.412,198707,0.782,0,0.00822,2,0.0775,-9.186,0,My Generation - Stereo Version,68,0.0579999999999999,96.732,0.705,1965
8894,0.598,Tom Jones,0.476,119800,0.722,0,0.0,0,0.184,-10.017,1,It's Not Unusual,69,0.0646,92.966,0.909,1965
8880,0.396,The Righteous Brothers,0.3389999999999999,218013,0.208,0,0.000519,0,0.18,-16.725,1,Unchained Melody,72,0.0308,98.54,0.288,1965
8862,0.579,Burl Ives,0.6829999999999999,135533,0.375,0,0.0,0,0.076,-13.056,1,A Holly Jolly Christmas - Single Version,75,0.0303,140.467,0.888,1965
8863,0.908,Vince Guaraldi Trio,0.583,309387,0.191,0,0.00824,5,0.126,-15.938,1,O Tannenbaum,74,0.0404,123.303,0.342,1965
8864,0.635,The Temptations,0.5720000000000001,165000,0.418,0,0.0,0,0.0961,-10.738,1,My Girl,78,0.0349,104.566,0.6940000000000001,1965
8865,0.6709999999999999,Burl Ives,0.67,130027,0.275,0,0.0,0,0.1989999999999999,-12.755,1,Rudolph The Red-Nosed Reindeer,70,0.0385,152.649,0.8059999999999999,1965
8866,0.7240000000000001,Andy Williams,0.5710000000000001,128400,0.634,0,0.0,5,0.0864,-9.155,0,Sleigh Ride,70,0.0537,109.575,0.805,1965
8867,0.879,The Beatles,0.332,125667,0.179,0,0.0,5,0.0886,-11.83,1,Yesterday - Remastered 2009,76,0.0326,96.529,0.315,1965
8868,0.0383,The Rolling Stones,0.723,222813,0.863,0,0.0317,2,0.128,-7.89,1,(I Can't Get No) Satisfaction - Mono Version,77,0.0338,136.30200000000002,0.931,1965
8870,0.245,Four Tops,0.667,160280,0.599,0,0.0,0,0.107,-8.894,1,"I Can't Help Myself (Sugar Pie, Honey Bunch)",72,0.0291,127.935,0.971,1965
8871,0.449,The Beatles,0.688,146333,0.435,0,0.0,9,0.113,-11.359000000000002,1,In My Life - Remastered 2009,72,0.0323,103.239,0.435,1965
8873,0.7290000000000001,Bob Dylan,0.483,369600,0.721,0,0.0,0,0.1889999999999999,-6.836,1,Like a Rolling Stone,73,0.032,95.261,0.562,1965
8877,0.8640000000000001,Nina Simone,0.3989999999999999,174000,0.326,0,0.0,7,0.191,-9.239,0,Feeling Good,74,0.0386,79.206,0.546,1965
8878,0.188,The Beatles,0.534,139560,0.725,0,0.0,6,0.0994,-7.576,0,Help! - Remastered 2009,71,0.0332,95.003,0.763,1965
9062,0.9,Dean Martin,0.29,142560,0.259,0,0.0,8,0.308,-13.967,1,Silver Bells,74,0.0306,97.173,0.606,1966
9064,0.952,Thurl Ravenscroft,0.517,315707,0.484,0,0.0075,2,0.129,-10.93,0,"You're A Mean One, Mr. Grinch",70,0.318,141.914,0.42,1966
9064,0.952,Boris Karloff,0.517,315707,0.484,0,0.0075,2,0.129,-10.93,0,"You're A Mean One, Mr. Grinch",70,0.318,141.914,0.42,1966
9066,0.352,The Mamas & The Papas,0.552,162373,0.608,0,0.0,1,0.0533,-9.786,0,California Dreamin' - Single Version,78,0.0345,112.367,0.637,1966
9068,0.0493,The Rolling Stones,0.4639999999999999,202267,0.795,0,0.00244,1,0.3989999999999999,-9.267,1,"Paint It, Black",78,0.0926,158.691,0.612,1966
9070,0.406,Buffalo Springfield,0.653,153693,0.519,0,0.0209,2,0.1009999999999999,-10.164,1,For What It's Worth,74,0.0497,98.883,0.8220000000000001,1966
9072,0.299,The Supremes,0.63,167933,0.711,0,0.0,10,0.0813,-9.34,1,You Can't Hurry Love,74,0.0472,96.912,0.659,1966
9074,0.718,The Beach Boys,0.392,153205,0.629,0,3.76e-06,5,0.129,-7.056,1,Wouldn't It Be Nice - Stereo Mix,71,0.0335,124.511,0.72,1966
9076,0.253,The Beach Boys,0.521,173040,0.487,0,0.0,6,0.0579,-7.525,0,God Only Knows - Remastered,72,0.0299,117.072,0.483,1966
9100,0.412,James Brown & The Famous Flames,0.613,165800,0.487,0,1.02e-05,7,0.286,-8.781,1,I Got You (I Feel Good),69,0.0935,143.332,0.6990000000000001,1966
9104,0.483,Nancy Sinatra,0.74,166008,0.392,0,1.11e-06,9,0.0965,-11.996,1,These Boots Are Made For Walkin',69,0.0824,82.742,0.387,1966
9080,0.55,Frank Sinatra,0.56,187040,0.434,0,0.0,4,0.346,-14.151,0,That's Life,70,0.0729,112.803,0.664,1966
9082,0.936,The Beatles,0.581,126533,0.28,0,1.56e-05,4,0.305,-9.091,0,Eleanor Rigby - Remastered 2009,69,0.0381,137.83100000000002,0.813,1966
9086,0.0103,The Rolling Stones,0.505,204480,0.836,0,0.0771,5,0.295,-7.383999999999999,0,"Paint It, Black - Mono",69,0.1009999999999999,159.66899999999995,0.764,1966
9088,0.5920000000000001,Frank Sinatra,0.259,157867,0.473,0,0.0,5,0.201,-8.275,1,Strangers In The Night,69,0.0295,90.348,0.539,1966
9264,0.0087599999999999,Jimi Hendrix,0.5329999999999999,170813,0.905,0,0.578,2,0.0698,-5.27,1,Purple Haze,71,0.0754,108.9,0.486,1967
9263,0.43,Marvin Gaye,0.6629999999999999,151667,0.6,0,0.0,7,0.184,-10.87,1,Ain't No Mountain High Enough,80,0.032,129.991,0.8,1967
9263,0.43,Tammi Terrell,0.6629999999999999,151667,0.6,0,0.0,7,0.184,-10.87,1,Ain't No Mountain High Enough,80,0.032,129.991,0.8,1967
9262,0.182,Van Morrison,0.491,183307,0.583,0,0.0,7,0.407,-10.964,1,Brown Eyed Girl,78,0.0376,150.572,0.907,1967
9265,0.55,The Turtles,0.584,176293,0.3670000000000001,0,1.3800000000000008e-05,6,0.0818,-9.638,0,Happy Together,73,0.0328,120.175,0.588,1967
9266,0.7070000000000001,The Monkees,0.526,167373,0.775,0,2.05e-05,0,0.217,-6.05,1,I'm a Believer - 2006 Remaster,73,0.0352,80.10600000000002,0.962,1967
9268,0.369,The Doors,0.413,429760,0.725,0,2.1600000000000007e-05,3,0.0905,-5.787000000000001,0,Light My Fire,73,0.0324,124.618,0.44,1967
9267,0.326,The Beach Boys,0.396,219027,0.473,0,0.000124,10,0.109,-7.67,0,Good Vibrations - Remastered,70,0.0345,133.44899999999998,0.385,1967
9284,0.7290000000000001,Bee Gees,0.423,182000,0.384,0,4.11e-06,9,0.27,-12.503,1,To Love Somebody,68,0.0315,90.43,0.521,1967
9282,0.465,The Moody Blues,0.195,269107,0.483,0,0.4970000000000001,4,0.0686,-4.9910000000000005,0,Nights In White Satin - Single Version / Mono Mix,68,0.03,84.71,0.173,1967
9279,0.736,Frank Sinatra,0.257,162493,0.3379999999999999,0,0.0,4,0.252,-12.902,1,Somethin' Stupid,70,0.0357,207.356,0.544,1967
9279,0.736,Nancy Sinatra,0.257,162493,0.3379999999999999,0,0.0,4,0.252,-12.902,1,Somethin' Stupid,70,0.0357,207.356,0.544,1967
9278,0.685,The Doors,0.6990000000000001,130173,0.467,0,0.0,4,0.315,-8.578,0,People Are Strange,70,0.0375,119.287,0.764,1967
9277,0.508,Frankie Valli,0.581,203680,0.78,0,1.07e-05,4,0.0799,-7.053,1,Can't Take My Eyes off You,68,0.0567,123.711,0.561,1967
9276,0.0469,The Beatles,0.311,208467,0.325,0,0.0,2,0.139,-9.042,1,Lucy In The Sky With Diamonds - Remastered 2009,68,0.0283,65.09,0.6679999999999999,1967
9275,0.486,Jefferson Airplane,0.551,150640,0.293,0,0.000273,2,0.0864,-12.503,1,White Rabbit,69,0.0272,106.798,0.322,1967
9274,0.2,The Doors,0.421,145867,0.7509999999999999,0,0.0,9,0.17,-9.584,1,Break on Through (To the Other Side),71,0.0472,89.839,0.789,1967
9273,0.1639999999999999,Aretha Franklin,0.805,147600,0.5579999999999999,0,2.2e-05,0,0.0546,-5.226,1,Respect,73,0.0409999999999999,114.95,0.965,1967
9272,0.00603,Jimi Hendrix,0.346,210160,0.768,0,0.38,9,0.0244,-5.695,1,Hey Joe,70,0.0377,169.49200000000005,0.532,1967
9271,0.408,Jefferson Airplane,0.504,174840,0.578,0,0.0,4,0.321,-9.302,1,Somebody to Love,72,0.031,132.411,0.654,1967
9270,0.336,The Beatles,0.39,247320,0.502,0,0.000138,10,0.0713,-12.277,1,Strawberry Fields Forever - Remastered 2009,70,0.178,97.871,0.289,1967
9269,0.181,Jimi Hendrix,0.515,145747,0.534,0,0.00278,6,0.0547,-8.045,1,Little Wing,70,0.0768,70.77600000000002,0.426,1967
9474,0.0652,Johnny Cash,0.621,162653,0.524,0,0.00199,0,0.893,-15.269,1,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",68,0.0803,110.586,0.889,1968
9473,0.191,Cream,0.5529999999999999,298333,0.5760000000000001,0,0.00664,0,0.0365,-13.458,1,White Room,72,0.0304,109.827,0.457,1968
9471,0.518,The Rolling Stones,0.7020000000000001,378147,0.6679999999999999,0,0.0,9,0.0588,-9.237,1,Sympathy For The Devil - 50th Anniversary Edition,74,0.214,116.063,0.561,1968
9469,0.684,Otis Redding,0.769,163756,0.3670000000000001,0,1.62e-05,2,0.081,-11.226,1,(Sittin' On) the Dock of the Bay,74,0.0312,103.621,0.535,1968
9468,0.713,Simon & Garfunkel,0.606,244027,0.457,0,2.53e-05,6,0.0747,-14.035,0,"Mrs. Robinson - From ""The Graduate"" Soundtrack",75,0.0497,92.033,0.813,1968
9467,0.754,The Beatles,0.6859999999999999,138387,0.127,0,1.41e-05,7,0.0573,-14.361,1,Blackbird - Remastered 2009,74,0.0342,93.699,0.3720000000000001,1968
9466,0.142,Steppenwolf,0.64,271573,0.6509999999999999,0,0.28,4,0.0341,-14.981,0,Magic Carpet Ride,70,0.0517,111.676,0.8009999999999999,1968
9465,0.833,Tony Bennett,0.452,133867,0.366,0,0.0,0,0.0789,-14.152,0,Winter Wonderland,74,0.0415,114.993,0.629,1968
9464,0.315,The Foundations,0.659,177533,0.513,0,0.0,0,0.283,-7.186,1,Build Me Up Buttercup - Mono,74,0.0293,133.609,0.855,1968
9463,0.373,The Band,0.63,274493,0.551,0,5.75e-05,9,0.103,-9.28,1,The Weight - Remastered,73,0.0549,143.868,0.518,1968
9462,0.00255,Jimi Hendrix,0.4379999999999999,240800,0.805,0,5.69e-05,8,0.0842,-6.237,1,All Along the Watchtower,77,0.0624,113.253,0.564,1968
9475,0.6890000000000001,Etta James,0.477,156653,0.433,0,0.000195,11,0.151,-6.473,0,I'd Rather Go Blind,70,0.0247,82.52,0.611,1968
9476,0.195,Stevie Wonder,0.524,169800,0.519,0,0.0,6,0.523,-11.903,1,For Once In My Life,72,0.043,110.121,0.847,1968
9477,0.272,Marvin Gaye,0.711,194293,0.362,0,0.0,3,0.127,-10.851,0,I Heard It Through The Grapevine,72,0.0381,117.287,0.616,1968
9478,0.2319999999999999,The Beatles,0.818,188960,0.728,0,0.0642,10,0.251,-8.331,1,"Ob-La-Di, Ob-La-Da - Remastered 2009",70,0.0314,113.059,0.975,1968
9488,0.213,Aretha Franklin,0.65,166973,0.3229999999999999,0,0.0,0,0.187,-8.698,1,(You Make Me Feel Like) A Natural Woman,68,0.0283,110.962,0.276,1968
