,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
45,1965,0.6131359503496513,0.500765584415584,198106.65884115885,0.4439932017982008,0.1219255042257742,0.2138795204795205,-12.034077422577436,0.0576353646353646,116.6388116883119,0.5798210289710289,27.181818181818183,0,1
46,1966,0.5264009007046764,0.5047228058936569,207088.52530429207,0.4801731838565017,0.1178459785458039,0.2167402946828952,-11.36023766816144,0.0540671364509929,117.07642216527876,0.5776956438180654,30.90711082639334,9,1
47,1967,0.5423322508137793,0.4891990014977533,198554.5866200699,0.4413662656015981,0.1230225841587618,0.1913777333999006,-11.849574138791818,0.051578482276585,116.0915986020968,0.5455145282076889,31.149276085871197,0,1
48,1968,0.4929572126913584,0.4973220740740734,213801.11604938272,0.4568873777777784,0.125030210202469,0.2150846913580251,-12.002092839506185,0.0586267160493826,115.8942227160493,0.5630099259259255,31.2,0,1
49,1969,0.4460890553518332,0.4861697720515355,238507.7898909812,0.4903788206144694,0.1630086266947474,0.208033647175421,-11.981210604558983,0.0542232408325074,117.01696729435088,0.5552239692765107,32.35678889990089,2,1
50,1970,0.4570200491323753,0.5052280614774418,243635.9538919187,0.4948168071393165,0.1300632230342092,0.2116305899851265,-11.75978879524045,0.0512046108081308,117.37428210213184,0.5727270699058008,33.90332176499752,2,1
51,1971,0.4596606169382723,0.5019534320987652,259429.2898765432,0.4943090419753088,0.1254348912839505,0.2124160000000002,-12.116391604938274,0.0600522962962963,118.16830765432066,0.5705116049382725,33.96543209876543,2,1
52,1972,0.4598840766633557,0.5211926514399199,247129.12115193644,0.5026282820258189,0.1177526647070504,0.2061213505461769,-11.789685203574974,0.0536588877855015,119.34634160873875,0.5936718470705067,33.92303872889772,2,1
53,1973,0.4172574755244754,0.5127625374625377,255462.5264735265,0.5353908091908084,0.099985903106893,0.1981346653346652,-11.19163686313688,0.0565188811188812,120.04932717282728,0.5881032467532477,36.1003996003996,0,1
54,1974,0.4491533620723849,0.5183694100148734,249418.84630639563,0.5151857957362422,0.1165854518591967,0.2144430837878033,-11.84953842340111,0.0742762022806146,118.99313336638552,0.5824325235498268,31.814080317302924,2,1
55,1975,0.4300696424492827,0.5226744186046516,254208.6511627907,0.5235905937654629,0.1106703742256306,0.2133311232063336,-11.445217714002942,0.0616620484908461,118.8616704601684,0.5716751113310237,34.1583374567046,9,1
56,1976,0.3701217817330672,0.5285758964143422,267375.9327689243,0.5476755976095623,0.1244194410806773,0.2466480577689242,-11.195345119521916,0.0623564741035856,120.29478137450212,0.5766630478087645,35.216633466135455,2,1
57,1977,0.3431440455172415,0.5335206896551744,256076.67816091955,0.5545842168915551,0.127443587626187,0.2262519240379812,-11.126880059970013,0.0629546726636681,121.64451224387822,0.5827722138930537,35.30934532733633,9,1
