,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
2049,musica popular paraense,0.6124999999999999,0.6772500000000001,185966.75,0.5125,3.8425e-06,0.180025,-9.6675,0.138775,137.23399999999998,0.682,46.0,7,1
2050,musica potosina,0.2787833333333333,0.7164999999999999,157255.58333333334,0.6558333333333334,1.150611111111111e-05,0.1615472222222222,-5.689388888888889,0.0565888888888888,108.56538888888888,0.9052222222222222,40.75,7,1
2051,musica prehispanica,0.9738333333333332,0.5855,127637.66666666669,0.3613333333333333,0.3585666666666666,0.3621666666666667,-19.286999999999995,0.3189666666666667,119.1571666666667,0.8008333333333333,2.1666666666666665,7,1
2052,musica sarda,0.8734999999999999,0.5036666666666666,202862.16666666663,0.3025,0.0022490116666666,0.1275166666666666,-13.358333333333334,0.1661,130.67016666666666,0.6788333333333334,46.33333333333334,7,0
2053,musica tradicional cubana,0.6919214954483136,0.6052199992046771,227316.58426853977,0.4810768210064906,0.1546497144510276,0.1731195944677133,-10.622250072436646,0.0610308513279297,115.13632112732093,0.7380507626489476,25.99605836372297,7,1
2054,musica tropical guatemalteca,0.2037999999999999,0.7015,364747.0,0.63525,1.09575e-05,0.32825,-8.93525,0.0419,126.69574999999998,0.8982499999999999,33.25,7,1
2055,musica valenciana,0.0145,0.457,230008.0,0.7,0.00011,0.236,-7.152,0.0595,120.142,0.381,0.0,2,1
2056,musica yucateca,0.6118097560975612,0.5032439024390245,167217.82926829267,0.3610243902439025,0.0004328731707317,0.1728878048780487,-10.609560975609751,0.0482926829268292,101.8051707317073,0.3863414634146341,42.85365853658536,0,1
2057,musical advocacy,0.1765,0.5635,324933.0,0.5445,1.665e-05,0.08685,-11.0955,0.0399,93.996,0.3205,74.5,4,1
2058,musikkorps,0.869,0.65625,169155.25,0.5722499999999999,1.7800000000000002e-05,0.2219999999999999,-8.131,0.0391,119.2055,0.65025,27.25,3,1
2059,musique ancienne,0.5570278260869566,0.3793260869565218,269541.6304347826,0.4706521739130433,0.040278554347826,0.4314413043478262,-12.765043478260871,0.0412195652173913,126.07134782608696,0.3845630434782608,0.0,9,1
2060,musique concrete,0.5349999999999999,0.3625,374153.5,0.2786,0.3740151,0.24465,-17.629,0.09745,109.7435,0.3757999999999999,17.0,5,1
2061,musique pour enfant quebecois,0.773,0.782,45004.0,0.344,0.0,0.0848,-7.504,0.0582,134.746,0.953,47.0,3,1
2062,musique pour enfants,0.913,0.473,1622000.0,0.0492,0.000276,0.322,-21.929,0.0725,120.51,0.122,27.0,0,1
2063,muzica crestina,0.217,0.758,165000.0,0.57,0.0,0.0806,-11.951,0.165,160.056,0.7659999999999999,38.0,4,0
2064,muzica populara,0.9366977272727276,0.4774515151515153,165905.29545454547,0.3097439393939394,0.0221443226893939,0.2084091666666666,-13.189126515151516,0.0501621969696969,102.36468181818184,0.557944696969697,0.3223484848484848,7,1
2065,muziek voor kinderen,0.0932,0.644,184246.0,0.759,2.47e-05,0.332,-5.88,0.0339,131.986,0.2,11.0,9,1
2066,muzika l'yeladim,0.8285833333333334,0.6553333333333333,99990.08333333331,0.2834166666666666,0.0001626399999999,0.1341,-11.077083333333333,0.1636666666666666,104.77875,0.7094166666666666,34.166666666666664,10,0
2067,naija worship,0.1268583333333333,0.5916666666666666,392161.25,0.6639166666666667,0.000111,0.43835,-6.077583333333334,0.1833833333333333,105.94266666666668,0.5035833333333333,44.66666666666667,11,1
2068,nantes indie,0.00293,0.276,218965.0,0.7959999999999999,0.0,0.184,-4.499,0.0579,199.526,0.26,66.0,0,1
2069,narodna muzika,0.4748999999999999,0.482,245993.75,0.5916666666666667,0.0030142166666666,0.313825,-8.627250000000002,0.0385666666666666,119.76491666666668,0.6115833333333334,23.166666666666668,4,1
2070,nashville americana,0.5708333333333333,0.5223333333333332,182360.0,0.3740000000000001,2.629333333333333e-05,0.0908666666666666,-11.283333333333331,0.0448666666666666,112.74466666666667,0.4689999999999999,53.33333333333334,7,1
2071,nashville hip hop,0.1506980404040404,0.7627777777777778,213887.4838383839,0.6492393939393939,1.5580464646464645e-05,0.1255046464646464,-6.2646979797979805,0.1656885858585858,112.8333797979798,0.5954666666666667,44.62323232323232,11,1
2072,nashville indie,0.4088926666666667,0.5457333333333333,220604.3333333333,0.6816666666666666,1.6922666666666666e-05,0.1930133333333333,-5.949400000000001,0.0429533333333333,131.15233333333333,0.3903999999999999,62.53333333333334,4,1
2073,nashville singer-songwriter,0.5288737254901961,0.4915411764705883,245486.04627450983,0.4789129411764706,0.0116854980392156,0.2183049411764706,-9.399397647058825,0.0963122352941176,123.11180470588236,0.4141898039215687,54.3356862745098,10,1
