,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,valence,year
7676,0.539,The Dave Brubeck Quartet,0.4539999999999999,324133,0.26,0,0.00078,8,0.0675,-13.193,0,Take Five,67,0.0401,174.322,0.598,1959
7675,0.916,The Flamingos,0.552,202773,0.313,0,0.0017,5,0.12,-12.41,1,I Only Have Eyes for You,61,0.0296,88.554,0.303,1959
7699,0.925,Dinah Washington,0.387,151867,0.1169999999999999,0,0.000171,0,0.109,-17.803,1,What A Diff'rence A Day Made,61,0.0299,93.575,0.166,1959
7674,0.753,The Isley Brothers,0.489,268560,0.866,0,0.0,10,0.8759999999999999,-7.433,1,"Shout, Pts. 1 & 2",60,0.0933,138.63,0.416,1959
7672,0.872,Ritchie Valens,0.684,116627,0.247,0,0.000166,5,0.113,-13.71,1,We Belong Together,60,0.0281,106.522,0.768,1959
7673,0.6709999999999999,Dion & The Belmonts,0.555,158253,0.377,0,0.0,1,0.128,-9.123,1,A Teenager In Love,62,0.0295,78.986,0.619,1959
7671,0.787,Ritchie Valens,0.516,126960,0.809,0,0.000331,0,0.303,-6.419,1,La Bamba - Single Version,64,0.0545,75.09899999999998,0.939,1959
7670,0.81,Miles Davis,0.421,337733,0.0161,0,0.0021,2,0.0978,-25.358,0,Blue in Green,65,0.0374,110.926,0.16,1959
7669,0.835,Marty Robbins,0.654,259307,0.452,0,2.89e-05,2,0.16,-9.709,1,El Paso,61,0.03,106.662,0.691,1959
7668,0.794,Ricky Nelson,0.4039999999999999,134040,0.193,0,0.000296,11,0.103,-12.501,1,Lonesome Town,66,0.0305,77.02600000000002,0.273,1959
7667,0.723,Bobby Darin,0.521,172480,0.516,0,0.0,2,0.257,-7.456,0,Beyond the Sea,68,0.0369,136.483,0.569,1959
7666,0.741,Chuck Berry,0.534,161560,0.8029999999999999,0,6.07e-05,10,0.307,-9.129,1,Johnny B. Goode,75,0.0743,167.983,0.969,1959
7665,0.8029999999999999,Marty Robbins,0.726,235733,0.474,0,0.0,1,0.258,-7.834,0,Big Iron,68,0.0491,116.027,0.57,1959
7664,0.919,Dean Martin,0.478,135760,0.201,0,0.0,7,0.0854,-16.768,1,Rudolph The Red-Nosed Reindeer,75,0.0332,136.471,0.857,1959
7663,0.882,Dean Martin,0.469,143733,0.196,0,0.0,0,0.0513,-16.093,1,"Baby, It's Cold Outside",72,0.0571,130.036,0.537,1959
7662,0.912,Dean Martin,0.451,117147,0.24,0,2.45e-06,1,0.175,-14.014,1,Let It Snow! Let It Snow! Let It Snow!,84,0.0351,134.009,0.701,1959
7862,0.764,Ella Fitzgerald,0.508,175987,0.287,0,0.0,1,0.153,-12.472,1,Sleigh Ride,74,0.0523,154.759,0.644,1960
7863,0.733,Ella Fitzgerald,0.579,131733,0.502,0,0.0,8,0.281,-7.57,1,Frosty The Snowman,74,0.0513,76.816,0.836,1960
